Key,en,en-GB,de,el,es,fr,hr,id,it,ja,ko,ms,nl,pt-PT,th,vi,zh-Hans,zh-Hant,狀態/判斷
Importing file %lld of %lld: %@,Importing file %1$lld of %2$lld: %3$@,Importing file %1$lld of %2$lld: %3$@,Datei %1$lld von %2$lld wird importiert: %3$@,Εισαγωγή αρχείου %1$lld από %2$lld: %3$@,Importando archivo %1$lld de %2$lld: %3$@,Importation du fichier %1$lld sur %2$lld : %3$@,Uvoz datoteke %1$lld od %2$lld: %3$@,Mengimpor file %1$lld dari %2$lld: %3$@,Importazione file %1$lld di %2$lld: %3$@,ファイル %1$lld / %2$lld を取り込み中：%3$@,파일 %1$lld/%2$lld 가져오는 중: %3$@,Mengimport fail %1$lld daripada %2$lld: %3$@,Bestand %1$lld van %2$lld importeren: %3$@,A importar ficheiro %1$lld de %2$lld: %3$@,กำลังนำเข้าไฟล์ %1$lld จาก %2$lld: %3$@,Đang nhập tệp %1$lld trong %2$lld: %3$@,正在导入第 %1$lld 个文件（共 %2$lld 个）：%3$@,正在匯入第 %1$lld 個檔案（共 %2$lld 個）：%3$@,OK
Importing…,Importing…,Importing…,Importieren…,Εισαγωγή…,Importando…,Importation…,Uvoženje…,Sedang mengimpor…,Importazione in corso…,読み込み中…,가져오는 중…,Importing…,Importeren…,Importando…,กำลังนำเข้า…,Đang nhập…,导入中…,匯入中…,OK
Incoming,Incoming,Incoming,Flut,Παλίρροια,Marea creciente,Montante,Plima,Pasang,Marea crescente,上げ潮,밀물,Pasang,Vloed,Enchente,น้ำขึ้น,Triều lên,涨潮,漲潮,OK
JD2 Logbook,JD2 Logbook,,,,,,,,,,,,,,,,,,保留原文(單位/型號/App名)
JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook プレミアム,JD2 Logbook 프리미엄,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 潜水日志专业版,JD2 潛水日誌進階版,OK
Jump to Today,Jump to Today,Jump to Today,Heute,Μετάβαση στο σήμερα,Ir a hoy,Aujourd'hui,Skoči na danas,Lompat ke Hari Ini,Vai a oggi,今日へ移動,오늘로 이동,Lompat ke Hari Ini,Naar vandaag,Ir para hoje,ข้ามไปวันนี้,Nhảy đến hôm nay,跳至今天,跳至今天,OK
Key Stats,Key Stats,Key Stats,Wichtige Statistiken,Κύρια στατιστικά,Estadísticas clave,Statistiques clés,Ključne statistike,Statistik Utama,Statistiche chiave,主な統計,주요 통계,Statistik Utama,Belangrijkste statistieken,Estatísticas principais,สถิติหลัก,Số liệu chính,主要数据,主要數據,OK
Language,Language,Language,Sprache,Γλώσσα,Idioma,Langue,Jezik,Bahasa,Lingua,言語,언어,Bahasa,Taal,Idioma,ภาษา,Ngôn ngữ,语言,語言,OK
"Language, appearance, and preferences will be available in a future update.","Language, appearance, and preferences will be available in a future update.","Language, appearance, and preferences will be available in a future update.","Sprache, Erscheinungsbild und Einstellungen werden in einem zukünftigen Update verfügbar sein.","Η γλώσσα, η εμφάνιση και οι προτιμήσεις θα είναι διαθέσιμες σε μελλοντική ενημέρωση.","El idioma, la apariencia y las preferencias estarán disponibles en una próxima actualización.","La langue, l'apparence et les préférences seront disponibles dans une prochaine mise à jour.","Jezik, izgled i postavke bit će dostupni u budućem ažuriranju.","Bahasa, tampilan, dan preferensi akan tersedia dalam pembaruan mendatang.","Lingua, aspetto e preferenze saranno disponibili in un prossimo aggiornamento.",言語、外観、環境設定は今後のアップデートで利用可能になります。,"언어, 화면 스타일 및 환경 설정은 향후 업데이트에서 지원될 예정입니다.","Bahasa, penampilan dan keutamaan akan tersedia dalam kemas kini masa hadapan.","Taal, weergave en voorkeuren komen beschikbaar in een toekomstige update.","O idioma, a aparência e as preferências estarão disponíveis numa atualização futura.",ภาษา รูปลักษณ์ และการตั้งค่าจะพร้อมใช้งานในการอัปเดตในอนาคต.,"Ngôn ngữ, giao diện và tùy chọn sẽ khả dụng trong bản cập nhật tương lai.",语言、外观与偏好设置将在后续版本中提供。,語言、外觀與偏好設定將在後續版本中提供。,OK
Location,Location,Location,Ort,Τοποθεσία,Ubicación,Lieu,Lokacija,Lokasi,Posizione,場所,위치,Lokasi,Locatie,Localização,สถานที่,Địa điểm,地点,地點,OK
Logbook,Logbook,Logbook,Logbuch,Ημερολόγιο,Diario,Carnet,Logbook,Logbook,Giornale,ログ,로그북,Log,Logboek,Diário,สมุดบันทึก,Nhật ký,日志,日誌,OK
Manual Entry,Manual Entry,Manual Entry,Manuelle Eingabe,Μη αυτόματη καταχώριση,Entrada manual,Saisie manuelle,Ručni unos,Entri Manual,Inserimento manuale,手動入力,수동 입력,Kemasukan Manual,Handmatige invoer,Entrada manual,กรอกข้อมูลเอง,Nhập thủ công,手动创建,手動建立,OK
Map,Map,Map,Karte,Χάρτης,Mapa,Carte,Karta,Peta,Mappa,マップ,지도,Peta,Kaart,Mapa,แผนที่,Bản đồ,地图,地圖,OK
Map view coming soon,Map view coming soon,Map view coming soon,Kartenansicht demnächst verfügbar,Η προβολή χάρτη έρχεται σύντομα,Vista de mapa próximamente,Vue carte bientôt disponible,Prikaz karte stiže uskoro,Tampilan peta segera hadir,Mappa in arrivo,マップビューは近日公開予定,지도 뷰 곧 출시 예정,Paparan peta akan datang,Kaartweergave binnenkort beschikbaar,Vista de mapa em breve,มุมมองแผนที่เร็ว ๆ นี้,Giao diện bản đồ sắp ra mắt,地图视图即将推出,地圖檢視即將推出,OK
Max Depth,Max Depth,Max Depth,Maximale Tiefe,Μέγιστο βάθος,Profundidad máx.,Profondeur max,Maks. dubina,Kedalaman Maksimum,Profondità max,最大水深,최대 깊이,Kedalaman Maks,Max. diepte,Profundidade máx.,ความลึกสูงสุด,Độ sâu tối đa,最大深度,最大深度,OK
Max Depth: %.1f metres,Max Depth: %.1f m,Max Depth: %.1f m,Maximale Tiefe: %.1f m,Μέγιστο βάθος: %.1f μέτρα,Profundidad máx.: %.1f m,Profondeur max : %.1f m,Maks. dubina: %.1f m,Kedalaman Maksimum: %.1f m,Profondità max: %.1f m,最大水深：%.1f m,최대 깊이: %.1f미터,Kedalaman Maks: %.1f m,Max. diepte: %.1f m,Profundidade máx.: %.1f m,ความลึกสูงสุด: %.1f เมตร,Độ sâu tối đa: %.1f mét,最大深度：%.1f m,最大深度：%.1f m,OK
Min Depth,Min Depth,Min Depth,Minimale Tiefe,Ελάχιστο βάθος,Profundidad mínima,Profondeur minimale,Minimalna dubina,Kedalaman minimum,Profondità minima,最小深度,최소 깊이,Kedalaman minimum,Minimale diepte,Profundidade mínima,ความลึกต่ำสุด,Độ sâu tối thiểu,最小深度,最小深度,OK
Moderate,Moderate,Moderate,Mäßig,Μέτρια,Moderado,Modéré,Umjereno,Sedang,Moderato,中程度,중간,Sedang,Matig,Moderado,ปานกลาง,Vừa phải,中等,中等,OK
Month,Month,Month,Monat,Μήνας,Mes,Mois,Mjesec,Bulan,Mese,月,월,Bulan,Monat,Mês,เดือน,Tháng,月,月,OK
New Dive,New Dive,New Dive,Neuer Tauchgang,Νέα κατάδυση,Nueva inmersión,Nouvelle plongée,Novi uron,Penyelaman Baru,Nuova immersione,新しいダイビング,새 다이빙,Selam Baru,Nieuwe duik,Novo mergulho,ไดฟ์ใหม่,Chuyến lặn mới,新增潜水,新增潛水,OK
Next month,Next month,Next month,Nächster Monat,Επόμενος μήνας,Mes siguiente,Mois suivant,Sljedeći mjesec,Bulan depan,Mese successivo,来月,다음 달,Bulan depan,Volgende maand,Mês seguinte,เดือนถัดไป,Tháng sau,下个月,下個月,OK
Next year,Next year,Next year,Nächstes Jahr,Επόμενο έτος,Año siguiente,Année suivante,Sljedeća godina,Tahun depan,Anno successivo,翌年,내년,Tahun depan,Volgend jaar,Ano seguinte,ปีหน้า,Năm sau,下一年,下一年,OK
Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,ナイトロックス,나이트록스,Nitrox,Nitrox,Nitrox,ไนตรอกซ์,Nitrox,高氧,高氧,OK
Nitrox O2: %d percent,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂ : %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,ナイトロックス O₂：%dパーセント,나이트록스 O₂: %d퍼센트,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,ไนตรอกซ์ O₂: %d เปอร์เซ็นต์,Nitrox O₂: %d%%,高氧空气 O₂：%d%%,高氧空氣 O₂：%d%%,OK
No Dive Selected,No Dive Selected,No Dive Selected,Kein Tauchgang ausgewählt,Δεν επιλέχθηκε κατάδυση,Ninguna inmersión seleccionada,Aucune plongée sélectionnée,Nije odabran uron,Tidak ada penyelaman yang dipilih,Nessuna immersione selezionata,ダイビングが選択されていません,선택된 다이빙 없음,Tiada Selam Dipilih,Geen duik geselecteerd,Nenhum mergulho selecionado,ไม่ได้เลือกไดฟ์,Chưa chọn chuyến lặn,未选取潜水日志,未選取潛水日誌,OK
No GPS Dive Sites,No GPS Dive Sites,No GPS Dive Sites,Keine GPS-Tauchplätze,Χωρίς τοποθεσίες κατάδυσης GPS,Sin puntos de inmersión GPS,Aucun site de plongée GPS,Nema ronilačkih lokacija s GPS-om,Tidak Ada Lokasi Penyelaman GPS,Nessun punto di immersione GPS,GPSなしのダイビングポイント,GPS 다이빙 사이트 없음,Tiada Tapak Selam GPS,Geen GPS-duiklocaties,Sem locais de mergulho GPS,ไม่มีจุดดำน้ำ GPS,Không có địa điểm lặn GPS,无 GPS 潜点,無 GPS 潛點,OK
No buddy recorded.,No buddy recorded.,No buddy recorded.,Kein Buddy erfasst.,Δεν καταγράφηκε ζευγάρι.,Ningún compañero registrado.,Aucun binôme enregistré.,Nije zabilježen partner.,Tidak ada buddy yang dicatat.,Nessun compagno registrato.,バディが記録されていません。,기록된 버디가 없습니다.,Tiada buddy direkodkan.,Geen buddy geregistreerd.,Nenhum dupla registado.,ไม่ได้บันทึกคู่ดำน้ำ,Không có bạn lặn được ghi lại.,未记录潜伴。,未記錄潛伴。,OK
No dives on this date.,No dives on this date.,No dives on this date.,Keine Tauchgänge an diesem Datum.,Χωρίς καταδύσεις αυτή την ημερομηνία.,No hay inmersiones en esta fecha.,Aucune plongée à cette date.,Nema urona na ovaj datum.,Tidak ada penyelaman pada tanggal ini.,Nessuna immersione in questa data.,この日のダイビングはありません。,이 날짜에 다이빙이 없습니다.,Tiada selam pada tarikh ini.,Geen duiken op deze datum.,Sem mergulhos nesta data.,ไม่มีไดฟ์ในวันนี้,Không có chuyến lặn vào ngày này.,此日期没有潜水记录。,這一天沒有潛水記錄。,OK
No dives yet,No dives yet,No dives yet,Noch keine Tauchgänge,Δεν υπάρχουν ακόμη καταδύσεις,Aún no hay inmersiones,Aucune plongée pour le moment,Još nema urona,Belum ada penyelaman,Ancora nessuna immersione,ダイビングがまだありません,아직 다이빙이 없습니다,Tiada selam lagi,Nog geen duiken,Ainda sem mergulhos,ยังไม่มีไดฟ์,Chưa có chuyến lặn nào,暂无潜水记录,尚無潛水記錄,OK
No file selected,No file selected,No file selected,Keine Datei ausgewählt,Δεν επιλέχθηκε αρχείο,Ningún archivo seleccionado,Aucun fichier sélectionné,Nije odabrana datoteka,Tidak ada file yang dipilih,Nessun file selezionato,ファイルが選択されていません,선택된 파일 없음,Tiada fail dipilih,Geen bestand geselecteerd,Nenhum ficheiro selecionado,ไม่ได้เลือกไฟล์,Chưa chọn tệp,未选择文件,未選擇檔案,OK
No notes recorded.,No notes recorded.,No notes recorded.,Keine Notizen erfasst.,Δεν καταγράφηκαν σημειώσεις.,Sin notas registradas.,Aucune note enregistrée.,Nema zabilježenih napomena.,Tidak ada catatan yang direkam.,Nessuna nota registrata.,メモが記録されていません。,기록된 메모가 없습니다.,Tiada nota direkodkan.,Geen notities geregistreerd.,Sem notas registadas.,ไม่มีการบันทึกบันทึกย่อ,Không có ghi chú nào được ghi lại.,未填写备注。,未填寫備註。,OK
No previous purchase found.,No previous purchase found.,No previous purchase found.,Keine vorherigen Käufe gefunden.,Δεν βρέθηκε προηγούμενη αγορά.,No se encontró ninguna compra anterior.,Aucun achat antérieur trouvé.,Nije pronađena prethodna kupnja.,Tidak ada pembelian sebelumnya ditemukan.,Nessun acquisto precedente trovato.,以前の購入履歴が見つかりません。,이전 구매 내역을 찾을 수 없습니다.,Tiada pembelian terdahulu ditemui.,Geen eerdere aankoop gevonden.,Nenhum histórico de compra encontrado.,ไม่พบประวัติการซื้อก่อนหน้า,Không tìm thấy giao dịch mua trước đó.,未找到先前的购买记录。,未找到先前的購買記錄。,OK
None,None,None,Keine,Κανένα,Ninguno,Aucun,Nema,Tidak ada,Nessuno,なし,없음,Tidak ada,Geen,Nenhum,ไม่มี,Không có,无,無,OK
Notes,Notes,Notes,Notizen,Σημειώσεις,Notas,Notes,Napomene,Catatan,Note,メモ,메모,Nota,Notities,Notas,บันทึกย่อ,Ghi chú,备注,備註,OK
OK,OK,OK,OK,OK,Aceptar,OK,U redu,OK,OK,OK,확인,OK,OK,OK,ตกลง,OK,确定,確定,OK
One-time purchase — no subscription.,One-time purchase — no subscription.,One-time purchase — no subscription.,Einmaliger Kauf — kein Abonnement,Αγορά μία φορά — χωρίς συνδρομή,Compra única — sin suscripción,Achat unique — sans abonnement,Jednokratna kupnja — bez pretplate,Pembelian sekali — tanpa langganan,Acquisto una tantum — nessun abbonamento,一回限りの購入 — サブスクリプションなし,일회성 구매 — 구독 없음,Pembelian sekali sahaja — tiada langganan,Eenmalige aankoop — geen abonnement,Compra única — sem subscrição,ซื้อครั้งเดียว — ไม่มีระบบสมาชิก,Mua một lần — không cần đăng ký,一次性购买，无需订阅。,一次性購買，無需訂閱。,OK
One-time purchase. No subscription.,One-time purchase. No subscription.,One-time purchase. No subscription.,Einmaliger Kauf. Kein Abonnement.,Αγορά μία φορά. Χωρίς συνδρομή.,Compra única. Sin suscripción.,Achat unique. Sans abonnement.,Jednokratna kupnja. Bez pretplate.,Pembelian sekali. Tanpa langganan.,Acquisto una tantum. Nessun abbonamento.,一回限りの購入。サブスクリプションなし。,일회성 구매. 구독 없음.,Pembelian sekali sahaja. Tiada langganan.,Eenmalige aankoop. Geen abonnement.,Compra única. Sem subscrição.,ซื้อครั้งเดียว ไม่มีระบบสมาชิก,Mua một lần. Không cần đăng ký.,一次性购买。无需订阅。,一次性購買。無需訂閱。,OK
"One-time purchase. No subscription.
Remove all ads.","One-time purchase. No subscription.
Remove all ads.","One-time purchase. No subscription.
Remove all ads.","Einmaliger Kauf. Kein Abo.
Alle Werbung entfernen.","Εφάπαξ αγορά. Χωρίς συνδρομή.
Κατάργηση όλων των διαφημίσεων.","Compra única. Sin suscripción.
Eliminar todos los anuncios.","Achat unique. Sans abonnement.
Supprimer toutes les pubs.","Jednokratna kupnja. Bez pretplate.
Ukloni sve oglase.","Pembelian sekali. Tanpa langganan.
Hapus semua iklan.","Acquisto unico. Nessun abbonamento.
Rimuovi tutti gli annunci.","買い切り型。サブスクリプションなし。
すべての広告を非表示。","일회성 구매. 구독 없음.
모든 광고 제거.","Pembelian sekali sahaja. Tiada langganan.
Buang semua iklan.","Eenmalige aankoop. Geen abonnement.
Verwijder alle advertenties.","Compra única. Sem subscrição.
Remover todos os anúncios.","ซื้อครั้งเดียว ไม่มีสมัครสมาชิก
ลบโฆษณาออกทั้งหมด","Mua một lần. Không đăng ký.
Xóa toàn bộ quảng cáo.","一次性购买，无需订阅。
移除所有广告。","一次性購買，無需訂閱。
移除所有廣告。",OK
One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,"Einmaliger Kauf. Kein Abonnement.\nSchalten Sie Premium frei, um alle Ihre Tauchgänge zu sichern und zu exportieren.",Αγορά μία φορά. Χωρίς συνδρομή.\nΞεκλειδώστε το Premium για να δημιουργήσετε αντίγραφα ασφαλείας και να εξαγάγετε όλες τις καταδύσεις σας.,Compra única. Sin suscripción.\nDesbloquea Premium para respaldar y exportar todas tus inmersiones.,Achat unique. Sans abonnement.\nDéverrouillez le Premium pour sauvegarder et exporter toutes vos plongées.,Jednokratna kupnja. Bez pretplate.\nOtključajte Premium za sigurnosnu kopiju i izvoz svih svojih urona.,Pembelian sekali. Tanpa langganan.\nBuka kunci Premium untuk mencadangkan dan mengeksport semua penyelaman Anda.,Acquisto una tantum. Nessun abbonamento.\nSblocca Premium per eseguire il backup ed esportare tutte le tue immersioni.,一回限りの購入。サブスクリプションなし。\nすべてのダイビングをバックアップおよび書き出すには、プレミアムのロックを解除してください。,일회성 구매. 구독 없음.\n모든 다이빙을 백업하고 내보내려면 프리미엄을 잠금 해제하세요.,Pembelian sekali sahaja. Tiada langganan.\nBuka kunci Premium untuk menyandar dan mengeksport semua selam anda.,Eenmalige aankoop. Geen abonnement.\nOntgrendel Premium om al je duiken te back-uppen en te exporteren.,Compra única. Sem subscrição.\nDesbloqueie o Premium para salvaguardar e exportar todos os seus mergulhos.,ซื้อครั้งเดียว ไม่มีระบบสมาชิก\nปลดล็อกพรีเมียมเพื่อสำรองข้อมูลและส่งออกไดฟ์ทั้งหมดของคุณ,Mua một lần. Không cần đăng ký.\nMở khóa Premium để sao lưu và xuất tất cả các chuyến lặn của bạn.,"一次性购买，无需订阅。
解锁专业版即可备份并导出所有潜水记录。","一次性購買，無需訂閱。
解鎖進階版即可備份並匯出所有潛水記錄。",OK
Open Source Licenses,Open Source Licenses,Open Source Licenses,Open-Source-Lizenzen,Άδειες ανοιχτού κώδικα,Licencias de código abierto,Licences open source,Licence otvorenog izvornog koda,Lisensi Open Source,Licenze open source,オープンソースライセンス,오픈 소스 라이선스,Lesen Sumber Terbuka,Opensource-licenties,Licenças de código aberto,ใบอนุญาตโอเพนซอร์ส,Giấy phép nguồn mở,开源授权,開源授權,OK
Opens System Settings to change the app display language,Opens System Settings to change the app display language,Opens System Settings to change the app display language,"Öffnet die Systemeinstellungen, um die App-Anzeigesprache zu ändern",Ανοίγει τις Ρυθμίσεις συστήματος για να αλλάξετε τη γλώσσα εμφάνισης της εφαρμογής,Abre los Ajustes del sistema para cambiar el idioma de la app,Ouvre les Réglages Système pour modifier la langue de l'app,Otvara postavke sustava za promjenu jezika prikaza aplikacije,Membuka Pengaturan Sistem untuk mengubah bahasa tampilan aplikasi,Apre le Impostazioni di Sistema per modificare la lingua dell'app,システム設定を開いてアプリの表示言語を変更します,시스템 설정을 열어 앱 표시 언어를 변경합니다,Membuka Tetapan Sistem untuk mengubah bahasa paparan aplikasi,Opent de Systeeminstellingen om de weergavetaal van de app te wijzigen,Abre as Definições do Sistema para alterar o idioma de exibição da app,เปิดการตั้งค่าระบบเพื่อเปลี่ยนภาษาที่แสดงของแอป,Mở Cài đặt hệ thống để thay đổi ngôn ngữ hiển thị của ứng dụng,打开系统设置以更改 App 显示语言,開啟系統設定以變更 App 顯示語言,OK
Opens file picker to choose a dive log file,Opens file picker to choose a dive log file,Opens file picker to choose a dive log file,"Öffnet die Dateiauswahl, um eine Taucherlogbuch-Datei auszuwählen",Ανοίγει τον επιλογέα αρχείων για την επιλογή αρχείου καταγραφής κατάδυσης,Abre el selector de archivos para elegir un diario de inmersiones,Ouvre le sélecteur de fichiers pour choisir un carnet de plongée,Otvara alat za odabir datoteka za odabir ronilačkog logbooka,Membuka pemilih file untuk memilih file logbook penyelaman,Apre il selettore di file per scegliere un giornale di immersione,ファイルピッカーを開いてダイビングログファイルを選択します,파일 선택기를 열어 다이빙 로그 파일을 선택합니다,Membuka pemilih fail untuk memilih fail log selam,Opent de bestandskiezer om een duiklogboekbestand te kiezen,Abre o seletor de ficheiros para escolher um ficheiro de diário de mergulhos,เปิดตัวเลือกไฟล์เพื่อเลือกไฟล์บันทึกการดำน้ำ,Mở trình chọn tệp để chọn tệp nhật ký lặn,打开文件选择器以选择潜水日志文件,開啟檔案選取器以選擇潛水日誌檔案,OK
Opens file picker to choose dive log files or a folder,Opens file picker to choose dive log files or a folder,Opens file picker to choose dive log files or a folder,"Öffnet die Dateiauswahl, um Tauchprotokolldateien oder einen Ordner auszuwählen",Ανοίγει τον επιλογέα αρχείων για να επιλέξετε αρχεία καταγραφής κατάδυσης ή φάκελο,Abre el selector de archivos para elegir archivos de registro de inmersión o una carpeta,Ouvre le sélecteur de fichiers pour choisir des carnets de plongée ou un dossier,Otvara alat za odabir datoteka za odabir datoteka dnevnika urona ili mape,Membuka pemilih file untuk memilih file log penyelaman atau folder,Apre il selettore di file per scegliere i file di registro di immersione o una cartella,ファイルピッカーを開いてダイビングログファイルまたはフォルダを選択します,파일 선택기를 열어 다이빙 로그 파일 또는 폴더를 선택합니다,Membuka pemilih fail untuk memilih fail log selam atau folder,Opent de bestandskiezer om duiklogbestanden of een map te kiezen,Abre o seletor de ficheiros para escolher ficheiros de diário de mergulhos ou uma pasta,เปิดตัวเลือกไฟล์เพื่อเลือกไฟล์บันทึกการดำน้ำหรือโฟลเดอร์,Mở trình chọn tệp để chọn tệp nhật ký lặn hoặc thư mục,打开文件选择器以选取潜水日志文件或文件夹,開啟檔案選取器以選取潛水日誌檔案或資料夾,OK
Opens iOS Settings to change the app display language,Opens iOS Settings to change the app display language,Opens iOS Settings to change the app display language,"Öffnet die iOS-Einstellungen, um die App-Anzeigesprache zu ändern",Ανοίγει τις Ρυθμίσεις iOS για την αλλαγή της γλώσσας εμφάνισης της εφαρμογής,Abre los ajustes de iOS para cambiar el idioma de la app,Ouvre les réglages iOS pour modifier la langue d'affichage de l'app,Otvara iOS postavke za promjenu jezika prikaza aplikacije,Membuka Pengaturan iOS untuk mengubah bahasa tampilan aplikasi,Apre le impostazioni iOS per modificare la lingua dell'app,iOSの設定を開いてアプリの表示言語を変更します,iOS 설정을 열어 앱 표시 언어를 변경합니다,Membuka Tetapan iOS untuk mengubah bahasa paparan aplikasi,Opent de iOS-instellingen om de weergavetaal van de app te wijzigen,Abre as Definições do iOS para alterar o idioma de exibição da app,เปิดการตั้งค่า iOS เพื่อเปลี่ยนภาษาที่แสดงของแอป,Mở Cài đặt iOS để thay đổi ngôn ngữ hiển thị của ứng dụng,打开 iOS 设置以更改 App 显示语言,開啟 iOS 設定以變更 App 顯示語言,OK
Outgoing,Outgoing,Outgoing,Ebbe,Αμπώτιδα,Marea vaciante,Descendante,Oseka,Surut,Marea calante,下げ潮,썰물,Surut,Eb,Vazante,น้ำลง,Triều xuống,退潮,退潮,OK
O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,OK
O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,O₂ %,OK
Parsing…,Parsing…,Parsing…,Wird analysiert…,Ανάλυση…,Analizando…,Analyse en cours…,Parsiranje…,Mengurai…,Analisi in corso…,解析中…,파싱 중…,Sedang menghurai…,Analyseren…,A analisar…,กำลังประมวลผล…,Đang phân tích dữ liệu…,解析中…,解析中…,OK
Premium,Premium,Premium,Premium,Premium,Premium,Premium,Premium,Premium,Premium,プレミアム,프리미엄,Premium,Premium,Premium,พรีเมียม,Premium,专业版,進階版,OK
Premium Unlocked,Premium Unlocked,Premium Unlocked,Premium freigeschaltet,Το Premium ξεκλειδώθηκε,Premium desbloqueado,Premium déverrouillé,Premium otključan,Premium Unlocked,Premium sbloccato,プレミアムロック解除済み,프리미엄 잠금 해제됨,Premium Dibuka Kunci,Premium ontgrendeld,Premium desbloqueado,ปลดล็อกพรีเมียมแล้ว,Đã mở khóa Premium,专业版已解锁,進階版已解鎖,OK
Premium restored successfully.,Premium restored successfully.,Premium restored successfully.,Premium erfolgreich wiederhergestellt.,Το Premium αποκαταστάθηκε επιτυχώς.,Premium restaurado con éxito.,Premium restauré avec succès.,Premium uspješno obnovljen.,Premium berhasil dipulihkan.,Premium ripristinato con successo.,プレミアムが正常に復元されました。,프리미엄이 성공적으로 복원되었습니다.,Premium berjaya dipulihkan.,Premium succesvol hersteld.,Premium restaurado com sucesso.,คืนค่าพรีเมียมสำเร็จแล้ว,Đã khôi phục thành công Premium.,专业版已成功恢复。,進階版已成功回復。,OK
Premium unlocked — Ads removed.,Premium unlocked — Ads removed.,Premium unlocked — Ads removed.,Premium freigeschaltet — Werbung entfernt.,Το Premium ξεκλειδώθηκε — Οι διαφημίσεις αφαιρέθηκαν.,Premium desbloqueado — Anuncios eliminados.,Premium débloqué — Publicités supprimées.,Premium otključan — Oglasi uklonjeni.,Premium Terbuka — Iklan Dihapus.,Premium sbloccato — Annunci rimossi.,プレミアム解除済み — 広告なし,프리미엄 해제됨 — 광고 제거됨,Premium Dibuka — Iklan Dibuang.,Premium ontgrendeld — Advertenties verwijderd.,Premium desbloqueado — Anúncios removidos.,ปลดล็อกพรีเมียมแล้ว — ไม่มีโฆษณา,Đã mở khóa Premium — Đã gỡ bỏ quảng cáo.,已解锁高级版 — 已移除广告。,已解鎖進階版 — 已移除廣告。,OK
Previous month,Previous month,Previous month,Letzter Monat,Προηγούμενος μήνας,Mes anterior,Mois précédent,Prethodni mjesec,Bulan sebelumnya,Mese precedente,先月,지난달,Bulan lepas,Vorige maand,Mês anterior,เดือนก่อนหน้า,Tháng trước,上个月,上個月,OK
Previous year,Previous year,Previous year,Vorheriges Jahr,Προηγούμενο έτος,Año anterior,Année précédente,Prethodna godina,Tahun lalu,Anno precedente,前年,이전 해,Tahun lepas,Vorig jaar,Ano anterior,ปีก่อนหน้า,Năm trước,上一年,前一年,OK
Rainy,Rainy,Rainy,Regnerisch,Βροχερός,Lluvioso,Pluvieux,Kišovito,Hujan,Piovoso,雨,비,Hujan,Regenachtig,Chuvoso,มีฝน,Mưa,下雨,下雨,OK
Remove Ads,Remove Ads,Remove Ads,Werbung entfernen,Αφαίρεση διαφημίσεων,Eliminar anuncios,Supprimer les publicités,Ukloni oglase,Hapus Iklan,Rimuovi annunci,広告を削除,광고 제거,Buang Iklan,Advertenties verwijderen,Remover anúncios,ลบโฆษณา,Gỡ bỏ quảng cáo,移除广告,移除廣告,OK
Remove All Ads,Remove All Ads,Remove All Ads,Alle Werbung entfernen,Αφαίρεση όλων των διαφημίσεων,Quitar todos los anuncios,Supprimer toutes les publicités,Ukloni sve oglase,Hapus Semua Iklan,Rimuovi tutti gli annunci,すべての広告を削除,모든 광고 제거,Buang Semua Iklan,Verwijder alle advertenties,Remover todos os anúncios,นำโฆษณาออกทั้งหมด,Gỡ bỏ tất cả quảng cáo,移除所有广告,移除所有廣告,OK
Restore,Restore,Restore,Wiederherstellen,Αποκατάσταση,Restaurar,Restaurer,Obnovi,Pulihkan,Ripristina,復元,복원,Pulihkan,Herstel,Restaurar,คืนค่า,Khôi phục,恢复,回復,OK
Restore Purchase,Restore Purchase,Restore Purchase,Kauf wiederherstellen,Ανάκτηση αγοράς,Restaurar compra,Restaurer l'achat,Obnovi kupnju,Pulihkan Pembelian,Ripristina acquisto,購入履歴を復元,구매 내역 복원,Pulihkan Pembelian,Aankoop herstellen,Restaurar compra,คืนค่าการซื้อ,Khôi phục giao dịch mua,恢复购买,回復購買,OK
