Key (原文),使用情境,en,en-GB,zh-Hant,zh-Hans,ja,ko,de,fr,es,it,nl,pt-PT,el,hr,id,ms,th,vi
Dive Time,"Duration of the dive｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveSiteSheetView.swift",Dive Time,Dive Time,潛水時間,潜水时间,潜水時間,잠수 시간,Tauchzeit,Temps de plongée,Tiempo de inmersión,Tempo di immersione,Duiktijd,Tempo de mergulho,Χρόνος κατάδυσης,Vrijeme urona,Waktu Penyelaman,Masa Selam,เวลาดำน้ำ,Thời gian lặn
Dive site map will be available in a future update.,Map placeholder description,Dive site map will be available in a future update.,The dive site map will be available in a future update.,潛點地圖將在後續版本中提供。,潜点地图将在后续版本中提供。,ダイビングポイントのマップは今後のアップデートで利用可能になります。,다이빙 사이트 지도는 향후 업데이트에서 지원될 예정입니다.,Die Karte der Tauchplätze wird in einem zukünftigen Update verfügbar sein.,La carte des sites sera disponible dans une prochaine mise à jour.,El mapa de puntos de inmersión estará disponible en una próxima actualización.,La mappa dei punti di immersione sarà disponibile in un prossimo aggiornamento.,De duiklocatiekaart komt beschikbaar in een toekomstige update.,O mapa dos locais de mergulho estará disponível numa atualização futura.,Ο χάρτης τοποθεσιών κατάδυσης θα είναι διαθέσιμος σε μελλοντική ενημέρωση.,Karta lokacija urona bit će dostupna u budućem ažuriranju.,Peta lokasi penyelaman akan tersedia dalam pembaruan mendatang.,Peta tapak selam akan tersedia dalam kemas kini masa hadapan.,แผนที่จุดดำน้ำจะพร้อมใช้งานในการอัปเดตในอนาคต.,Bản đồ địa điểm lặn sẽ khả dụng trong bản cập nhật tương lai.
Dives,"Stats header label for dive count｜出現於：DiveCalendarView.swift, DiveImportKitAdapter.swift, DiveLogDatabase.swift, DiveLogDetailView.swift, 等共 12 個檔案",Dives,Dives,潛水,潜水,ダイビング,다이빙,Tauchgänge,Plongées,Inmersiones,Immersioni,Duiken,Mergulhos,Καταδύσεις,Uroni,Penyelaman,Selaman,ไดฟ์,Lần lặn
Dives with GPS coordinates will appear on this map.,Map empty state description｜出現於：MapView.swift,Dives with GPS coordinates will appear on this map.,Dives with GPS coordinates will appear on this map.,含 GPS 座標的潛水記錄將顯示在地圖上。,含 GPS 坐标的潜水记录将显示在地图上。,GPS座標を持つダイビングがこのマップに表示されます。,GPS 좌표가 있는 다이빙이 이 지도에 표시됩니다.,Tauchgänge mit GPS-Koordinaten werden auf dieser Karte angezeigt.,Les plongées avec coordonnées GPS apparaîtront sur cette carte.,Las inmersiones con coordenadas GPS aparecerán en este mapa.,Le immersioni con coordinate GPS appariranno su questa mappa.,Duiken met GPS-coördinaten verschijnen op deze kaart.,Os mergulhos com coordenadas GPS aparecerão neste mapa.,Οι καταδύσεις με συντεταγμένες GPS θα εμφανίζονται σε αυτόν τον χάρτη.,Uroni s GPS koordinatama prikazat će se na ovoj karti.,Penyelaman dengan koordinat GPS akan muncul di peta ini.,Selam dengan koordinat GPS akan muncul pada peta ini.,ไดฟ์ที่มีพิกัด GPS จะแสดงบนแผนที่นี้.,Chuyến lặn có tọa độ GPS sẽ xuất hiện trên bản đồ này.
Done,Button label｜出現於：ImportWizardView.swift,Done,Done,完成,完成,完了,완료,Fertig,Terminé,Hecho,Fine,Gereed,Concluído,Τέλος,Gotovo,Selesai,Selesai,เสร็จสิ้น,Xong
Duration: %d minutes,Accessibility label｜出現於：DiveLogEditSheet.swift,Duration: %d min,Duration: %d min,潛水時間：%d 分鐘,潜水时间：%d 分钟,潜水時間：%d 分,잠수 시간: %d분,Tauchzeit: %d Min.,Durée de plongée : %d min,Tiempo de buceo: %d min,Tempo di immersione: %d min,Duur: %d min,Tempo de mergulho: %d min,Διάρκεια: %d min,Trajanje: %d min,Durasi: %d min,Tempoh: %d min,ระยะเวลา: %d min,Thời gian lặn: %d phút
EANx,"出現於：GasMix+LocalizedDisplay.swift, GasMixTests.swift（無額外註解，請對照原始碼判斷情境）",EANx,EANx,高氧,高氧,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx,EANx
Edit,"Edit button in detail view｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, GasMixTests.swift, LogbookContainerView.swift, 等共 5 個檔案",Edit,Edit,編輯,编辑,編集,편집,Bearbeiten,Modifier,Editar,Modifica,Wijzig,Editar,Επεξεργασία,Uredi,Edit,Edit,แก้ไข,Sửa
Edit Dive,"Title for edit dive sheet｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift",Edit Dive,Edit Dive,編輯潛水,编辑潜水,ダイビングを編集,다이빙 편집,Tauchgang bearbeiten,Modifier la plongée,Editar inmersión,Modifica immersione,Wijzig duik,Editar mergulho,Επεξεργασία κατάδυσης,Uredi uron,Edit Penyelaman,Edit Selam,แก้ไขไดฟ์,Sửa chuyến lặn
Enable GPS Location,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,Enable GPS Location,Enable GPS Location,啟用 GPS 定位,启用 GPS 定位,GPS位置情報を有効にする,GPS 위치 사용,GPS-Standort aktivieren,Activer la position GPS,Activar ubicación GPS,Attiva posizione GPS,GPS-locatie inschakelen,Ativar localização GPS,Ενεργοποίηση τοποθεσίας GPS,Omogući GPS lokaciju,Aktifkan Lokasi GPS,Dayakan Lokasi GPS,เปิดใช้งานตำแหน่ง GPS,Bật vị trí GPS
End Pressure,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",End Pressure,End Pressure,結束壓力,结束压力,終了圧力,종료 압력,Enddruck,Pression finale,Presión final,Pressione finale,Einddruk,Pressão final,Πίεση λήξης,Završni tlak,Tekanan akhir,Tekanan akhir,ความดันสิ้นสุด,Áp lực cuối cùng
Enjoy an uninterrupted dive log experience.,Feature row subtitle｜出現於：SettingsView.swift,Enjoy an uninterrupted dive log experience.,Enjoy an uninterrupted dive log experience.,享受不受干擾的潛水日誌體驗。,享受不受干扰的潜水日志体验。,途切れることのないダイビングログ体験をお楽しみください。,중단 없는 다이빙 로그북을 경험해 보세요.,Genießen Sie ein ungestörtes Taucherlogbuch-Erlebnis.,Profitez d'un carnet de plongée sans interruption.,Disfruta de un diario de inmersiones sin interrupciones.,Goditi un giornale di immersione senza interruzioni.,Geniet van een ononderbroken duiklogboekervaring.,Desfrute de um diário de mergulhos sem interrupções.,Απολαύστε μια αδιάλειπτη εμπειρία ημερολογίου καταδύσεων.,Uživajte u neprekinutom ronilačkom logbooku.,Nikmati pengalaman logbook penyelaman tanpa gangguan.,Nikmati pengalaman log selam tanpa gangguan.,เพลิดเพลินกับประสบการณ์บันทึกการดำน้ำแบบไม่สะดุด.,Tận hưởng trải nghiệm nhật ký lặn không bị gián đoạn.
Enriched Air,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Enriched Air,Enriched Air,高氧,高氧,エンリッチドエア,농축 공기,Angereicherte Luft,Air enrichi,Aire enriquecido,Aria arricchita,Verrijkte lucht,Ar enriquecido,Εμπλουτισμένος αέρας,Obogaćeni zrak,Udara Kaya,Udara Kaya,อากาศที่เข้มข้น,Không khí giàu
Entered Deco,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Entered Deco,Entered Deco,已進入減壓,已进入减压,減圧潜水,감압 다이빙 진입,Deko betreten,Décompression Requise,Entró en Descompresión,Decompressione Richiesta,Decompressie Ingegaan,Entrou em Descompressão,Είσοδος σε Αποσυμπίεση,Ušao u Dekompresiju,Memasuki Dekompresi,Memasuki Dekompresi,เข้าสู่การลดความดัน,Đã Vào Giảm Áp
Entry & Exit,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Entry & Exit,Entry & Exit,出入水時間,出入水时间,入水と出水,입수 및 출수,Ein- und Ausstieg,Entrée et Sortie,Entrada y Salida,Ingresso e Uscita,In- en Uitgang,Entrada e Saída,Είσοδος και Έξοδος,Ulazak i Izlazak,Masuk dan Keluar,Masuk dan Keluar,เข้าน้ำและออกน้ำ,Vào Nước và Ra Nước
Entry Time,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Entry Time,Entry Time,入水時間,入水时间,エントリー時刻,입수 시간,Eintrittszeit,Heure d'entrée,Hora de entrada,Orario di ingresso,Instaptijd,Hora de entrada,Ώρα εισόδου,Vrijeme ulaska,Waktu masuk,Waktu masuk,เวลาลงน้ำ,Thời gian vào nước
Environment,"Dive detail section / field label｜出現於：DiveCalendarView.swift, DiveLog.swift, DiveLogDetailView.swift, DiveLogEditSheet.swift, 等共 14 個檔案",Environment,Environment,環境,环境,環境,환경,Umgebung,Environnement,Entorno,Ambiente,Omgeving,Ambiente,Περιβάλλον,Okolina,Lingkungan,Persekitaran,สภาพแวดล้อม,Môi trường lặn
Equipment,"Section header for equipment details｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift",Equipment,Equipment,潛水裝備,潜水装备,器材,장비,Ausrüstung,Équipement,Equipamiento,Attrezzatura,Uitrusting,Equipamento,Εξοπλισμός,Oprema,Peralatan,Peralatan,อุปกรณ์,Thiết bị
Estimated using Bühlmann ZHL-16C from the imported profile only. Not a substitute for your dive computer or certified decompression software.,出現於：DiveLogDetailView.swift（無額外註解，請對照原始碼判斷情境）,Estimated using Bühlmann ZHL-16C from the imported profile only. Not a substitute for your dive computer or certified decompression software.,Estimated using Bühlmann ZHL-16C from the imported profile only. Not a substitute for your dive computer or certified decompression software.,僅根據匯入的剖面資料，使用 Bühlmann ZHL-16C 估算。不能取代您的潛水電腦或經認證的減壓軟體。,仅根据导入的剖面数据，使用 Bühlmann ZHL-16C 估算。不能替代您的潜水电脑或经认证的减压软件。,インポートしたプロファイルのみから Bühlmann ZHL-16C で推定しています。ダイブコンピューターや認定された減圧ソフトウェアの代わりにはなりません。,가져온 프로필만을 기반으로 Bühlmann ZHL-16C를 사용해 추정한 값입니다. 다이브 컴퓨터나 공인 감압 소프트웨어를 대체할 수 없습니다.,Geschätzt mit Bühlmann ZHL-16C ausschließlich auf Basis des importierten Profils. Kein Ersatz für deinen Tauchcomputer oder zertifizierte Dekompressionssoftware.,Estimation avec Bühlmann ZHL-16C basée uniquement sur le profil importé. Ne remplace pas votre ordinateur de plongée ni un logiciel de décompression certifié.,Estimado con Bühlmann ZHL-16C solo a partir del perfil importado. No sustituye a tu ordenador de buceo ni a un software de descompresión certificado.,Stimato con Bühlmann ZHL-16C basandosi solo sul profilo importato. Non sostituisce il tuo computer subacqueo o un software di decompressione certificato.,"Geschat met Bühlmann ZHL-16C, uitsluitend op basis van het geïmporteerde profiel. Geen vervanging voor je duikcomputer of gecertificeerde decompressiesoftware.",Estimado com Bühlmann ZHL-16C apenas a partir do perfil importado. Não substitui o seu computador de mergulho ou software de descompressão certificado.,Εκτίμηση με χρήση Bühlmann ZHL-16C μόνο από το εισαγόμενο προφίλ. Δεν υποκαθιστά τον υπολογιστή κατάδυσης ή πιστοποιημένο λογισμικό αποσυμπίεσης.,Procijenjeno pomoću Bühlmann ZHL-16C samo na temelju uvezenog profila. Nije zamjena za vaš ronilački computer ili certificirani softver za dekompresiju.,Diperkirakan menggunakan Bühlmann ZHL-16C hanya dari profil yang diimpor. Bukan pengganti dive computer atau perangkat lunak dekompresi bersertifikat Anda.,Dianggarkan menggunakan Bühlmann ZHL-16C hanya daripada profil yang diimport. Bukan pengganti komputer selam atau perisian dekompresi bertauliah anda.,ประมาณการโดยใช้ Bühlmann ZHL-16C จากโปรไฟล์ที่นำเข้าเท่านั้น ไม่สามารถใช้ทดแทนคอมพิวเตอร์ดำน้ำหรือซอฟต์แวร์ลดความดันที่ได้รับการรับรอง,Ước tính bằng Bühlmann ZHL-16C chỉ dựa trên hồ sơ đã nhập. Không thay thế cho máy tính lặn hoặc phần mềm giảm áp được chứng nhận của bạn.
Exit Time,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Exit Time,Exit Time,出水時間,出水时间,エグジット時刻,출수 시간,Austrittszeit,Heure de sortie,Hora de salida,Orario di uscita,Uitstaptijd,Hora de saída,Ώρα εξόδου,Vrijeme izlaska,Waktu keluar,Waktu keluar,เวลาออกน้ำ,Thời gian thoát nước
Export Backup,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,Export Backup,Export Backup,匯出備份,导出备份,バックアップを書き出す,백업 내보내기,Sicherung exportieren,Exporter la Sauvegarde,Exportar Copia de Seguridad,Esporta Backup,Back-up Exporteren,Exportar Cópia de Segurança,Εξαγωγή Αντιγράφου Ασφαλείας,Izvezi Sigurnosnu Kopiju,Ekspor Cadangan,Eksport Sandaran,ส่งออกข้อมูลสำรอง,Xuất Bản Sao Lưu
"Export all dives to a JSON file, or restore from a previously exported file.",出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,"Export all dives to a JSON file, or restore from a previously exported file.","Export all dives to a JSON file, or restore from a previously exported file.",將所有潛水記錄匯出為 JSON 檔案，或從先前匯出的檔案還原。,将所有潜水记录导出为 JSON 文件，或从先前导出的文件还原。,すべての潜水記録をJSONファイルに書き出す、または以前に書き出したファイルから復元します。,모든 다이브를 JSON 파일로 내보내거나 이전에 내보낸 파일에서 복원하세요.,Exportiere alle Tauchgänge in eine JSON-Datei oder stelle sie aus einer zuvor exportierten Datei wieder her.,"Exportez toutes les plongées vers un fichier JSON, ou restaurez à partir d'un fichier précédemment exporté.","Exporta todas las inmersiones a un archivo JSON, o restaura desde un archivo exportado anteriormente.","Esporta tutte le immersioni in un file JSON, oppure ripristina da un file esportato in precedenza.","Exporteer alle duiken naar een JSON-bestand, of herstel vanuit een eerder geëxporteerd bestand.","Exporte todos os mergulhos para um ficheiro JSON, ou restaure a partir de um ficheiro exportado anteriormente.",Εξαγάγετε όλες τις καταδύσεις σε αρχείο JSON ή επαναφέρετε από ένα αρχείο που εξήχθη προηγουμένως.,Izvezite sva ronjenja u JSON datoteku ili vratite iz prethodno izvezene datoteke.,"Ekspor semua penyelaman ke file JSON, atau pulihkan dari file yang diekspor sebelumnya.","Eksport semua selaman ke fail JSON, atau pulihkan daripada fail yang dieksport sebelum ini.",ส่งออกการดำน้ำทั้งหมดเป็นไฟล์ JSON หรือกู้คืนจากไฟล์ที่เคยส่งออกไว้ก่อนหน้านี้,"Xuất tất cả các lần lặn ra tệp JSON, hoặc khôi phục từ tệp đã xuất trước đó."
Failed Files,A heading for a list of failed files in a batch import process.｜出現於：ImportWizardView.swift,Failed Files,Failed Files,失敗檔案,失败文件,失敗したファイル,실패한 파일,Fehlgeschlagene Dateien,Fichiers échoués,Archivos fallidos,File non riusciti,Mislukte bestanden,Ficheiros com falha,Aποτυχημένα αρχεία,Neuspjele datoteke,File Gagal,Fail Gagal,ไฟล์ที่ล้มเหลว,Tệp bị lỗi
Fast,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Fast,Fast,快速,快速,速い,빠름,Schnell,Rapide,Rápido,Veloce,Snel,Rápido,Γρήγορο,Brzo,Cepat,Cepat,เร็ว,Nhanh
File %lld of %lld,A label displaying the current and total file numbers and the name of the currently being imported file.,File %1$lld of %2$lld,File %1$lld of %2$lld,第 %1$lld 個檔案（共 %2$lld 個）,第 %1$lld 个文件（共 %2$lld 个）,ファイル %1$lld / %2$lld,파일 %1$lld/%2$lld,Datei %1$lld von %2$lld,Fichier %1$lld sur %2$lld,Archivo %1$lld de %2$lld,File %1$lld di %2$lld,Bestand %1$lld van %2$lld,Ficheiro %1$lld de %2$lld,Αρχείο %1$lld από %2$lld,Datoteka %1$lld od %2$lld,File %1$lld dari %2$lld,Fail %1$lld daripada %2$lld,ไฟล์ %1$lld จาก %2$lld,Tệp %1$lld trong %2$lld
Follow System,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,Follow System,Follow System,跟隨系統,跟随系统,システムに従う,시스템 설정 따르기,Systemsprache,Suivre le système,Igual que el sistema,Segui sistema,Systeeminstelling volgen,Seguir o sistema,Ακολούθηση συστήματος,Prati sustav,Ikuti Sistem,Ikut Sistem,ตามระบบ,Theo hệ thống
Freshwater,"Dive environment type｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveSiteSheetView.swift",Freshwater,Freshwater,淡水,淡水,淡水,담수,Süßwasser,Eau douce,Agua dulce,Acqua dolce,Zoet water,Água doce,Γλυκό νερό,Slatka voda,Air Tawar,Air Tawar,น้ำจืด,Nước ngọt
GPS Location,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,GPS Location,GPS Location,GPS 定位,GPS 定位,GPS位置情報,GPS 위치,GPS-Standort,Position GPS,Ubicación GPS,Posizione GPS,GPS-locatie,Localização GPS,Τοποθεσία GPS,GPS lokacija,Lokasi GPS,Lokasi GPS,ตำแหน่ง GPS,Vị trí GPS
Garmin Descent,"出現於：DiveImportKitAdapter.swift, DiveLogDetailView.swift, DiveLogImporter.swift, DiveSiteSheetView.swift, 等共 5 個檔案（無額外註解，請對照原始碼判斷情境）",Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent,Garmin Descent
Gas,"Dive detail field label｜出現於：DiveAnalysisView.swift, DiveLog.swift, DiveLogDetailView.swift, DiveLogEditSheet.swift, 等共 12 個檔案",Gas,Gas,氣體,气体,ガス,기체,Gas,Gaz,Gas,Gas,Gas,Gás,Αέριο,Plin,Gas,Gas,แก๊ส,Khí lặn
Gas Mix,"Section header for gas mix｜出現於：DiveLogEditSheet.swift, DiveRowView.swift",Gas Mix,Gas Mix,混合氣體,混合气体,混合ガス,기체 믹스,Gasgemisch,Mélange de gaz,Mezcla de gases,Miscela gas,Gasmengsel,Mistura de gases,Μείγμα αερίου,Mješavina plina,Campuran Gas,Campuran Gas,แก๊สผสม,Khí trộn
"Hello, world!",A greeting message displayed in the main view.,"Hello, world!","Hello, world!",你好，世界！,你好，世界！,こんにちは、世界！,"안녕, 세상아!",Hallo Welt!,Bonjour le monde !,"¡Hola, mundo!","Ciao, mondo!",Hallo wereld!,"Olá, mundo!","Γεια σου, κόσμε!","Pozdrav, svijete!","Halo, dunia!","Helo, dunia!",สวัสดีชาวโลก!,Chào thế giới!
Import,"Tab bar label｜出現於：AdBannerView.swift, Color+Platform.swift, DiveImportKitAdapter.swift, DiveImportKitAdapterTests.swift, 等共 18 個檔案",Import,Import,匯入,导入,取り込み,가져오기,Import,Importer,Importar,Importa,Importeer,Importar,Εισαγωγή,Uvoz,Impor,Import,นำเข้า,Nhập dữ liệu
Import Backup,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,Import Backup,Import Backup,匯入備份,导入备份,バックアップを読み込む,백업 가져오기,Sicherung importieren,Importer la Sauvegarde,Importar Copia de Seguridad,Importa Backup,Back-up Importeren,Importar Cópia de Segurança,Εισαγωγή Αντιγράφου Ασφαλείας,Uvezi Sigurnosnu Kopiju,Impor Cadangan,Import Sandaran,นำเข้าข้อมูลสำรอง,Nhập Bản Sao Lưu
Import Completed with Issues,出現於：ImportWizardView.swift（無額外註解，請對照原始碼判斷情境）,Import Completed with Issues,Import Completed with Issues,匯入完成，但有問題,导入完成，但有问题,問題が発生しましたがインポートが完了しました,문제와 함께 가져오기 완료됨,Import mit Problemen abgeschlossen,Importation terminée avec des problèmes,Importación completada con problemas,Importazione completata con problemi,Import voltooid met problemen,Importação concluída com problemas,Η εισαγωγή ολοκληρώθηκε με προβλήματα,Uvoz dovršen s problemima,Impor Selesai dengan Masalah,Import Selesai dengan Isu,นำเข้าเสร็จสิ้นพร้อมปัญหา,Nhập hoàn tất kèm sự cố
Import Dives,Import wizard navigation title｜出現於：ImportWizardView.swift,Import Dives,Import Dives,匯入潛水記錄,导入潜水记录,ダイビングを読み込む,다이빙 가져오기,Tauchgänge importieren,Importer des plongées,Importar inmersiones,Importa immersioni,Importeer duiken,Importar mergulhos,Εισαγωγή καταδύσεων,Uvezi urone,Impor Penyelaman,Import Selam,นำเข้าไดฟ์,Nhập chuyến lặn
Import Failed,Import result title｜出現於：ImportWizardView.swift,Import Failed,Import Failed,匯入失敗,导入失败,読み込み失敗,가져오기 실패,Import fehlgeschlagen,Échec de l'import,Error al importar,Importazione fallita,Importen mislukt,Falha na importação,Αποτυχία εισαγωγής,Uvoz nije uspio,Impor Gagal,Import Gagal,นำเข้าล้มเหลว,Nhập thất bại
Import Successful,Import result title｜出現於：ImportWizardView.swift,Import Successful,Import Successful,匯入成功,导入成功,読み込み成功,가져오기 성공,Import erfolgreich,Import réussi,Importación exitosa,Importazione completata,Import geslaagd,Importação com sucesso,Επιτυχής εισαγωγή,Uvoz uspješan,Impor Berhasil,Import Berjaya,นำเข้าสำเร็จ,Nhập thành công
"Imported %d dives, skipped %d duplicates.",出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,"Imported %d dives, skipped %d duplicates.","Imported %d dives, skipped %d duplicates.",已匯入 %d 筆潛水記錄，跳過 %d 筆重複記錄。,已导入 %d 笔潜水记录，跳过 %d 笔重复记录。,%d 件の潜水記録をインポートし、%d 件の重複をスキップしました。,"다이브 %d개를 가져왔고, 중복 %d개를 건너뛰었습니다.","%d Tauchgänge importiert, %d Duplikate übersprungen.","%d plongées importées, %d doublons ignorés.","Se importaron %d inmersiones, se omitieron %d duplicados.","Importate %d immersioni, %d duplicati ignorati.","%d duiken geïmporteerd, %d duplicaten overgeslagen.","%d mergulhos importados, %d duplicados ignorados.","Έγινε εισαγωγή %d καταδύσεων, παραλείφθηκαν %d διπλότυπα.","Uvezeno %d ronjenja, preskočeno %d duplikata.","%d penyelaman diimpor, %d duplikat dilewati.","%d selaman diimport, %d pendua dilangkau.",นำเข้าการดำน้ำ %d รายการ ข้าม %d รายการที่ซ้ำ,"Đã nhập %d lần lặn, bỏ qua %d bản trùng lặp."
Importing file %lld of %lld: %@,"A label describing the current state of the import process. If the total number of files is greater than 0, it will show the current file being imported and the total number of files. If the total number of files is 0, it will show ""Scanning files"".",Importing file %1$lld of %2$lld: %3$@,Importing file %1$lld of %2$lld: %3$@,正在匯入第 %1$lld 個檔案（共 %2$lld 個）：%3$@,正在导入第 %1$lld 个文件（共 %2$lld 个）：%3$@,ファイル %1$lld / %2$lld を取り込み中：%3$@,파일 %1$lld/%2$lld 가져오는 중: %3$@,Datei %1$lld von %2$lld wird importiert: %3$@,Importation du fichier %1$lld sur %2$lld : %3$@,Importando archivo %1$lld de %2$lld: %3$@,Importazione file %1$lld di %2$lld: %3$@,Bestand %1$lld van %2$lld importeren: %3$@,A importar ficheiro %1$lld de %2$lld: %3$@,Εισαγωγή αρχείου %1$lld από %2$lld: %3$@,Uvoz datoteke %1$lld od %2$lld: %3$@,Mengimpor file %1$lld dari %2$lld: %3$@,Mengimport fail %1$lld daripada %2$lld: %3$@,กำลังนำเข้าไฟล์ %1$lld จาก %2$lld: %3$@,Đang nhập tệp %1$lld trong %2$lld: %3$@
Importing…,Import progress label,Importing…,Importing…,匯入中…,导入中…,読み込み中…,가져오는 중…,Importieren…,Importation…,Importando…,Importazione in corso…,Importeren…,Importando…,Εισαγωγή…,Uvoženje…,Sedang mengimpor…,Importing…,กำลังนำเข้า…,Đang nhập…
Incoming,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Incoming,Incoming,漲潮,涨潮,上げ潮,밀물,Flut,Montante,Marea creciente,Marea crescente,Vloed,Enchente,Παλίρροια,Plima,Pasang,Pasang,น้ำขึ้น,Triều lên
JD2 Logbook Premium,Sheet title,JD2 Logbook Premium,JD2 Logbook Premium,JD2 潛水日誌進階版,JD2 潜水日志专业版,JD2 Logbook プレミアム,JD2 Logbook 프리미엄,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium,JD2 Logbook Premium
JoyDive²,"The name of the app.｜出現於：MainTabView.swift, SettingsView.swift",,,,,,,,,,,,,,,,,,
JoyDive² Premium,The title of the premium purchase screen.｜出現於：SettingsView.swift,,,,,,,,,,,,,,,,,,
Jump to Today,A button that jumps to today.｜出現於：DiveCalendarView.swift,Jump to Today,Jump to Today,跳至今天,跳至今天,今日へ移動,오늘로 이동,Heute,Aujourd'hui,Ir a hoy,Vai a oggi,Naar vandaag,Ir para hoje,Μετάβαση στο σήμερα,Skoči na danas,Lompat ke Hari Ini,Lompat ke Hari Ini,ข้ามไปวันนี้,Nhảy đến hôm nay
Key Stats,"Dive detail section header｜出現於：DiveLogDetailView.swift, DiveSiteSheetView.swift",Key Stats,Key Stats,主要數據,主要数据,主な統計,주요 통계,Wichtige Statistiken,Statistiques clés,Estadísticas clave,Statistiche chiave,Belangrijkste statistieken,Estatísticas principais,Κύρια στατιστικά,Ključne statistike,Statistik Utama,Statistik Utama,สถิติหลัก,Số liệu chính
Language,"Settings section header｜出現於：AppLanguageManager.swift, DiveLogDetailView.swift, DiveLogEditSheet.swift, ImportWizardView.swift, 等共 9 個檔案",Language,Language,語言,语言,言語,언어,Sprache,Langue,Idioma,Lingua,Taal,Idioma,Γλώσσα,Jezik,Bahasa,Bahasa,ภาษา,Ngôn ngữ
